I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,2.924531891412075,0.4153235662797553,0.32395238169820917,3.2395238169820915,0.19717074233280188,0.2426831613626925,0.1906263686382979,0.2910476183017909
0.2,2.9245303762540114,0.4110394437190615,0.6412215322017359,3.2061076610086796,0.1971566919511875,0.24266586776736396,0.1906184358000996,0.5887784677982641
0.3,2.9245288610328917,0.4085171894324657,0.9559302232719697,3.1864340775732325,0.19714264156957312,0.24264857417203542,0.1906105029619013,0.8890697767280303
0.4,2.92452734574871,0.4067162807292345,1.2689547958752119,3.1723869896880292,0.19712859118795872,0.24263128057670688,0.19060257012370302,1.1910452041247885
0.5,2.924525830401461,0.40531062908903853,1.5807114534472504,3.161422906894501,0.19711454080634436,0.24261398698137834,0.1905946372855047,1.4942885465527498
0.6,2.9245243149911397,0.4041549859892477,1.8914453344296793,3.1524088907161323,0.19710049042472996,0.2425966933860498,0.1905867044473064,1.7985546655703208
0.7,2.924522799517741,0.4031718714445366,2.2013184180871694,3.1447405972673854,0.19708644004311557,0.24257939979072127,0.19057877160910808,2.1036815819128303
0.8,2.924521283981259,0.4023150368083627,2.510445829684184,3.1380572871052297,0.19707238966150117,0.24256210619539273,0.1905708387709098,2.4095541703158165
0.9,2.924519768381689,0.40155465075543,2.818913648303119,3.1321262758923543,0.19705833927988675,0.24254481260006414,0.19056290593271147,2.7160863516968816
1.0,2.924518252719026,0.40087034466624577,3.1267886883967173,3.1267886883967173,0.19704428889827239,0.2425275190047356,0.1905549730945132,3.023211311603283
1.1,2.924516736993264,0.40024759043355157,3.434124325919873,3.1219312053817023,0.197030238516658,0.24251022540940706,0.19054704025631486,3.330875674080128
1.2,2.9245152212043983,0.3996756610402618,3.7409641873368504,3.117470156114042,0.1970161881350436,0.24249293181407852,0.19053910741811658,3.63903581266315
1.3,2.9245137053524233,0.3991464102713464,4.047344600151453,3.113342000116502,0.19700213775342923,0.24247563821874998,0.19053117457991825,3.9476553998485477
1.4,2.9245121894373343,0.3986535059450807,4.353296284920281,3.1094973463716298,0.19698808737181484,0.24245834462342142,0.19052324174171997,4.256703715079719
1.5,2.9245106734591255,0.3981919283233961,4.658845561383735,3.10589704092249,0.19697403699020044,0.24244105102809288,0.19051530890352164,4.566154438616266
1.6,2.9245091574177913,0.39775763073415554,4.964015231562262,3.1025095197264134,0.19695998660858605,0.24242375743276434,0.19050737606532336,4.875984768437739
1.7,2.9245076413133275,0.39734730326125367,5.268825241244223,3.099308965437779,0.19694593622697168,0.2424064638374358,0.19049944322712503,5.186174758755777
1.8,2.9245061251457285,0.39695820408218524,5.573293185313882,3.0962739918410453,0.19693188584535729,0.24238917024210727,0.19049151038892673,5.496706814686119
1.9,2.924504608914988,0.3965880364679774,5.877434700455425,3.093386684450224,0.1969178354637429,0.24237187664677873,0.19048357755072845,5.807565299544575
2.0,2.924503092621102,0.3962348573696723,6.181263774966888,3.090631887483444,0.19690378508212852,0.2423545830514502,0.19047564471253012,6.118736225033112
2.1,2.9245015762640647,0.3958970083312863,6.484792996466471,3.0879966649840336,0.19688973470051413,0.24233728945612165,0.19046771187433184,6.43020700353353
2.2,2.9245000598438713,0.395573062489354,6.788033752317315,3.085469887416961,0.19687568431889974,0.2423199958607931,0.1904597790361335,6.741966247682687
2.3,2.924498543360516,0.39526178336353807,7.090996393541873,3.0830419102355973,0.19686163393728537,0.24230270226546458,0.19045184619793523,7.054003606458126
2.4,2.9244970268139934,0.3949620924241396,7.393690370179892,3.0807043209082887,0.19684758355567097,0.242285408670136,0.1904439133597369,7.366309629820107
2.5,2.924495510204299,0.39467304328466174,7.696124344050904,3.0784497376203617,0.19683353317405658,0.24226811507480747,0.19043598052153862,7.6788756559490965
2.6,2.924493993531427,0.3943938009589945,7.99830628344841,3.0762716474801577,0.19681948279244216,0.2422508214794789,0.1904280476833403,7.991693716551591
