I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),Nernst Gain (V),Ohmic Loss (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,0.7543776213100611,0.39785949494173617,0.07370347143795662,0.7370347143795661,-0.01701478193049499,0.000328125,1.536825074161215e-07,1.8441900889934584e-06,1.2167890021049144e-07,0.04929652856204339
0.2,0.7492556615793007,0.3976823694356633,0.14734131787591326,0.7367065893795662,-0.011892822199734497,0.00065625,3.07365014832243e-07,3.6883801779869167e-06,2.433578004209829e-07,0.09865868212408675
0.3,0.7462595072066018,0.39750524392959036,0.22091353931386984,0.7363784643795661,-0.00889666782703578,0.000984375,4.6104752224836454e-07,5.532570266980374e-06,3.650367006314743e-07,0.14808646068613016
0.4,0.7441337018485401,0.3973281184235175,0.29442013575182646,0.7360503393795661,-0.0067708624689740045,0.0013125,6.14730029664486e-07,7.3767603559738335e-06,4.867156008419658e-07,0.19757986424817356
0.5,0.7424847991103266,0.3971509929174446,0.36786110718978304,0.7357222143795661,-0.005121959730760493,0.001640625,7.684125370806075e-07,9.220950444967292e-06,6.083945010524572e-07,0.24713889281021695
0.6,0.7411375474758415,0.39697386741137175,0.4412364536277397,0.7353940893795662,-0.003774708096275288,0.00196875,9.220950444967291e-07,1.1065140533960749e-05,7.300734012629486e-07,0.29676354637226027
0.7,0.7399984624493298,0.39679674190529884,0.5145461750656962,0.7350659643795661,-0.0026356230697636815,0.002296875,1.0757775519128505e-06,1.2909330622954207e-05,8.5175230147344e-07,0.3464538249343037
0.8,0.7390117421177796,0.396619616399226,0.5877902715036529,0.7347378393795662,-0.0016489027382135123,0.002625,1.229460059328972e-06,1.4753520711947667e-05,9.734312016839315e-07,0.39620972849634706
0.9,0.7381413931031428,0.39644249089315314,0.6609687429416096,0.7344097143795661,-0.00077855372357657,0.002953125,1.3831425667450936e-06,1.6597710800941124e-05,1.095110101894423e-06,0.4460312570583905
1.0,0.7373628393795661,0.39626536538708024,0.7340815893795661,0.7340815893795661,0.0,0.00328125,1.536825074161215e-06,1.8441900889934584e-05,1.2167890021049144e-06,0.49591841062043385
1.1,0.7366585518680813,0.39608823988100733,0.8071288108175227,0.7337534643795661,0.0007042875114848361,0.003609375,1.6905075815773368e-06,2.0286090978928044e-05,1.338467902315406e-06,0.5458711891824772
1.2,0.7360155877450809,0.3959111143749345,0.8801104072554793,0.7334253393795661,0.0013472516344852044,0.0039375,1.8441900889934582e-06,2.2130281067921497e-05,1.4601468025258973e-06,0.5958895927445206
1.3,0.7354241180876357,0.3957339888688616,0.953026378693436,0.7330972143795661,0.001938721291930391,0.004265625,1.99787259640958e-06,2.3974471156914957e-05,1.581825702736389e-06,0.6459736213065641
1.4,0.7348765027185693,0.3955568633627888,1.0258767251313925,0.7327690893795661,0.002486336660996811,0.00459375,2.151555103825701e-06,2.5818661245908414e-05,1.70350460294688e-06,0.6961232748686074
1.5,0.7343666850068674,0.39537973785671593,1.0986614465693494,0.7324409643795662,0.0029961543726987174,0.004921875,2.305237611241823e-06,2.7662851334901877e-05,1.8251835031573718e-06,0.7463385534306507
1.6,0.7338897823870192,0.395202612350643,1.1713805430073059,0.7321128393795662,0.0034730569925469803,0.00525,2.458920118657944e-06,2.9507041423895334e-05,1.946862403367863e-06,0.7966194569926941
1.7,0.733441801236197,0.3950254868445701,1.2440340144452622,0.731784714379566,0.003921038143369116,0.005578125,2.6126026260740656e-06,3.1351231512888794e-05,2.0685413035783547e-06,0.8469659855547377
1.8,0.7330194333723822,0.39484836133849727,1.3166218608832192,0.7314565893795661,0.004343406007183923,0.00590625,2.766285133490187e-06,3.319542160188225e-05,2.190220203788846e-06,0.8973781391167809
1.9,0.7326199076470135,0.39467123583242436,1.3891440823211754,0.731128464379566,0.004742931732552604,0.0062343749999999995,2.9199676409063087e-06,3.503961169087571e-05,2.3118991039993376e-06,0.9478559176788245
2.0,0.7322408796488056,0.3944941103263515,1.4616006787591322,0.7308003393795661,0.005121959730760493,0.0065625,3.07365014832243e-06,3.688380177986917e-05,2.433578004209829e-06,0.9983993212408677
2.1,0.7318803483458706,0.3943169848202786,1.533991650197089,0.7304722143795661,0.005482491033695529,0.006890625,3.2273326557385517e-06,3.872799186886262e-05,2.5552569044203205e-06,1.0490083498029112
2.2,0.7315365921373208,0.39413985931420575,1.6063169966350455,0.7301440893795661,0.0058262472422453285,0.00721875,3.3810151631546737e-06,4.057218195785609e-05,2.676935804630812e-06,1.0996830033649547
2.3,0.7312081191315369,0.39396273380813285,1.6785767180730018,0.7298159643795661,0.006154720248029193,0.007546874999999999,3.5346976705707948e-06,4.241637204684954e-05,2.7986147048413034e-06,1.150423281926998
2.4,0.7308936280143205,0.39378560830206,1.7507708145109588,0.7294878393795662,0.006469211365245696,0.007875,3.6883801779869163e-06,4.4260562135842994e-05,2.9202936050517946e-06,1.2012291854890411
