I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),Nernst Gain (V),Ohmic Loss (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
1.4,0.7388087622730466,0.39771867038237174,1.0314833716366811,0.7367738368833436,0.0025588246102970095,0.00459375,2.151555103825701e-06,2.5818661245908414e-05,1.70350460294688e-06,0.6905166283633188
1.5,0.7382840810712076,0.3975415448762989,1.1046685678250154,0.7364457118833436,0.0030835058121359976,0.004921875,2.305237611241823e-06,2.7662851334901877e-05,1.8251835031573718e-06,0.7403314321749845
1.6,0.7377932745848914,0.3973644193702259,1.1777881390133496,0.7361175868833435,0.0035743122984521394,0.00525,2.458920118657944e-06,2.9507041423895334e-05,1.946862403367863e-06,0.7902118609866504
1.7,0.7373322327591182,0.39718729386415313,1.2508420852016842,0.7357894618833436,0.004035354124225357,0.005578125,2.6126026260740656e-06,3.1351231512888794e-05,2.0685413035783547e-06,0.8401579147983158
1.8,0.7368975509634137,0.3970101683580802,1.3238304063900184,0.7354613368833435,0.004470035919929809,0.00590625,2.766285133490187e-06,3.319542160188225e-05,2.190220203788846e-06,0.8901695936099817
1.9,0.7364863772577136,0.3968330428520073,1.3967531025783528,0.7351332118833436,0.004881209625629939,0.0062343749999999995,2.9199676409063087e-06,3.503961169087571e-05,2.3118991039993376e-06,0.9402468974216471
2.0,0.7360962988805493,0.3966559173459345,1.4696101737666871,0.7348050868833436,0.005271288002794325,0.0065625,3.07365014832243e-06,3.688380177986917e-05,2.433578004209829e-06,0.9903898262333128
2.1,0.7357252564609106,0.39647879183986157,1.5424016199550215,0.7344769618833435,0.005642330422433007,0.006890625,3.2273326557385517e-06,3.872799186886262e-05,2.5552569044203205e-06,1.0405983800449785
2.2,0.7353714782054642,0.3963016663337887,1.6151274411433558,0.7341488368833435,0.005996108677879302,0.00721875,3.3810151631546737e-06,4.057218195785609e-05,2.676935804630812e-06,1.0908725588566444
2.3,0.7350334287272086,0.3961245408277158,1.68778763733169,0.7338207118833435,0.006334158156134999,0.007546874999999999,3.5346976705707948e-06,4.241637204684954e-05,2.7986147048413034e-06,1.1412123626683097
2.4,0.7347097687727554,0.3959474153216429,1.7603822085200245,0.7334925868833435,0.006657818110588135,0.007875,3.6883801779869163e-06,4.4260562135842994e-05,2.9202936050517946e-06,1.1916177914799755
2.5,0.734399323176207,0.39577028981557005,1.8329111547083587,0.7331644618833435,0.006968263707136511,0.008203125,3.842062685403038e-06,4.6104752224836454e-05,3.0419725052622862e-06,1.2420888452916412
2.6,0.7341010551019737,0.39559316430949726,1.9053744758966935,0.7328363368833436,0.007266531781369916,0.00853125,3.99574519281916e-06,4.7948942313829914e-05,3.163651405472778e-06,1.2926255241033067
2.7,0.7338140451512778,0.39541603880342435,1.9777721720850279,0.7325082118833436,0.007553541732065806,0.008859375000000001,4.149427700235281e-06,4.979313240282338e-05,3.2853303056832695e-06,1.3432278279149723
2.8,0.7335374742702522,0.3952389132973514,2.0501042432733616,0.7321800868833435,0.007830112613091335,0.0091875,4.303110207651402e-06,5.163732249181683e-05,3.40700920589376e-06,1.3938957567266381
2.9,0.7332706096586499,0.3950617877912786,2.1223706894616963,0.7318519618833436,0.008096977224693646,0.009515625,4.456792715067523e-06,5.348151258081029e-05,3.528688106104252e-06,1.4446293105383037
3.0,0.7330127930684133,0.39488466228520575,2.1945715106500305,0.7315238368833435,0.008354793814930324,0.00984375,4.610475222483646e-06,5.5325702669803754e-05,3.6503670063147437e-06,1.4954284893499694
3.1,0.7327634310216384,0.39470753677913284,2.266706706838365,0.7311957118833435,0.008604155861705085,0.010171875,4.764157729899767e-06,5.716989275879721e-05,3.772045906525235e-06,1.546293293161635
3.2,0.7325219865820971,0.39453041127305993,2.338776278026699,0.7308675868833435,0.008845600301246464,0.0105,4.917840237315888e-06,5.901408284779067e-05,3.893724806735726e-06,1.5972237219733008
3.3,0.7322879723933282,0.3943532857669871,2.4107802242150336,0.7305394618833435,0.009079614490015299,0.010828125,5.071522744732009e-06,6.0858272936784114e-05,4.015403706946217e-06,1.6482197757849664
3.4,0.7320609447563239,0.39417616026091423,2.482718545403368,0.7302113368833436,0.009306642127019683,0.01115625,5.225205252148131e-06,6.270246302577759e-05,4.1370826071567094e-06,1.6992814545966317
3.5,0.73184049856591,0.3939990347548413,2.5545912415917025,0.7298832118833436,0.009527088317433522,0.011484375,5.378887759564253e-06,6.454665311477103e-05,4.258761507367201e-06,1.7504087584082972
3.6,0.7316262629606194,0.3938219092487684,2.6263983127800365,0.7295550868833435,0.009741323922724133,0.0118125,5.532570266980374e-06,6.63908432037645e-05,4.380440407577692e-06,1.8016016872199634
3.7,0.7314178975687123,0.39364478374269557,2.6981397589683715,0.7292269618833436,0.00994968931463124,0.012140625,5.686252774396496e-06,6.823503329275795e-05,4.502119307788184e-06,1.8528602410316288
3.8,0.7312150892549193,0.3934676582366228,2.7698155801567053,0.7288988368833436,0.010152497628424264,0.012468749999999999,5.839935281812617e-06,7.007922338175141e-05,4.623798207998675e-06,1.9041844198432942
3.9,0.7310175492898376,0.39329053273054987,2.84142577634504,0.7285707118833435,0.010350037593505914,0.012796875,5.993617789228739e-06,7.192341347074487e-05,4.745477108209166e-06,1.95557422365496
4.0,0.7308250108777549,0.3931134072244769,2.912970347533374,0.7282425868833435,0.01054257600558865,0.013125,6.14730029664486e-06,7.376760355973833e-05,4.867156008419658e-06,2.007029652466626
4.1,0.7306372269897787,0.3929362817184041,2.984449293721708,0.7279144618833435,0.01073035989356483,0.013453124999999998,6.3009828040609815e-06,7.561179364873178e-05,4.988834908630149e-06,2.0585507062782913
4.2,0.7304539684581162,0.3927591562123312,3.0558626149100427,0.7275863368833435,0.010913618425227332,0.01378125,6.4546653114771034e-06,7.745598373772524e-05,5.110513808840641e-06,2.110137385089957
