I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),Nernst Gain (V),Ohmic Loss (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,0.7566280239530649,0.3989403984515276,0.0739037088131455,0.7390370881314549,-0.01726281082161007,0.000328125,1.536825074161215e-07,1.8441900889934584e-06,1.2167890021049144e-07,0.04909629118685452
0.2,0.7514314000862875,0.3987632729454547,0.14774179262629097,0.7387089631314548,-0.012066186954832666,0.00065625,3.07365014832243e-07,3.6883801779869167e-06,2.433578004209829e-07,0.09825820737370904
0.3,0.7483915699938701,0.3985861474393818,0.22151425143943645,0.7383808381314548,-0.00902635686241531,0.000984375,4.6104752224836454e-07,5.532570266980374e-06,3.650367006314743e-07,0.14748574856056354
0.4,0.7462347762195101,0.39840902193330896,0.29522108525258195,0.7380527131314548,-0.006869563088055257,0.0013125,6.14730029664486e-07,7.3767603559738335e-06,4.867156008419658e-07,0.19677891474741807
0.5,0.7445618369982323,0.39823189642723616,0.36886229406572746,0.7377245881314549,-0.005196623866777408,0.001640625,7.684125370806075e-07,9.220950444967292e-06,6.083945010524572e-07,0.24613770593427253
0.6,0.7431949461270927,0.3980547709211632,0.44243787787887284,0.7373964631314548,-0.003829732995637901,0.00196875,9.220950444967291e-07,1.1065140533960749e-05,7.300734012629486e-07,0.2955621221211271
0.7,0.7420392563625853,0.3978776454150903,0.5159478366920183,0.7370683381314548,-0.0026740432311304985,0.002296875,1.0757775519128505e-06,1.2909330622954207e-05,8.5175230147344e-07,0.3450521633079816
0.8,0.7410381523527326,0.3977005199090174,0.5893921705051638,0.7367402131314548,-0.001672939221277849,0.002625,1.229460059328972e-06,1.4753520711947667e-05,9.734312016839315e-07,0.3946078294948362
0.9,0.7401551160346753,0.3975233944029446,0.6627708793183092,0.7364120881314548,-0.0007899029032205433,0.002953125,1.3831425667450936e-06,1.6597710800941124e-05,1.095110101894423e-06,0.44422912068169074
1.0,0.7393652131314548,0.39734626889687163,0.7360839631314547,0.7360839631314547,0.0,0.00328125,1.536825074161215e-06,1.8441900889934584e-05,1.2167890021049144e-06,0.49391603686854524
1.1,0.7386506590381698,0.39716914339079884,0.8093314219446003,0.7357558381314547,0.0007145540932849064,0.003609375,1.6905075815773368e-06,2.0286090978928044e-05,1.338467902315406e-06,0.5436685780553998
1.2,0.7379983222603153,0.39699201788472593,0.8825132557577456,0.7354277131314547,0.0013668908711395075,0.0039375,1.8441900889934582e-06,2.2130281067921497e-05,1.4601468025258973e-06,0.5934867442422543
1.3,0.7373982305962018,0.3968148923786531,0.9556294645708913,0.7350995881314548,0.001966982535252991,0.004265625,1.99787259640958e-06,2.3974471156914957e-05,1.581825702736389e-06,0.6433705354291087
1.4,0.736842632495808,0.39663776687258023,1.0286800483840366,0.7347714631314548,0.00252258063564691,0.00459375,2.151555103825701e-06,2.5818661245908414e-05,1.70350460294688e-06,0.6933199516159632
