I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),Nernst Gain (V),Ohmic Loss (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,0.7498768160240535,0.3956976879221532,0.07330299668757888,0.7330299668757887,-0.016518724148264812,0.000328125,1.536825074161215e-07,1.8441900889934584e-06,1.2167890021049144e-07,0.049697003312421134
0.2,0.7449041845653268,0.3955205624160803,0.14654036837515774,0.7327018418757887,-0.011546092689538155,0.00065625,3.07365014832243e-07,3.6883801779869167e-06,2.433578004209829e-07,0.09945963162484227
0.3,0.7419953816320654,0.3953434369100074,0.2197121150627366,0.7323737168757887,-0.00863728975627672,0.000984375,4.6104752224836454e-07,5.532570266980374e-06,3.650367006314743e-07,0.1492878849372634
0.4,0.7399315531066002,0.39516631140393454,0.2928182367503155,0.7320455918757887,-0.006573461230811497,0.0013125,6.14730029664486e-07,7.3767603559738335e-06,4.867156008419658e-07,0.19918176324968453
0.5,0.7383307233345153,0.39498918589786164,0.3658587334378943,0.7317174668757886,-0.004972631458726658,0.001640625,7.684125370806075e-07,9.220950444967292e-06,6.083945010524572e-07,0.24914126656210567
0.6,0.7370227501733387,0.3948120603917888,0.43883360512547315,0.7313893418757886,-0.0036646582975500604,0.00196875,9.220950444967291e-07,1.1065140533960749e-05,7.300734012629486e-07,0.2991663948745268
0.7,0.7359168746228187,0.39463493488571594,0.5117428518130521,0.7310612168757887,-0.0025587827470300462,0.002296875,1.0757775519128505e-06,1.2909330622954207e-05,8.5175230147344e-07,0.34925714818694786
0.8,0.7349589216478736,0.39445780937964303,0.584586473500631,0.7307330918757887,-0.0016008297720848383,0.002625,1.229460059328972e-06,1.4753520711947667e-05,9.734312016839315e-07,0.399413526499369
0.9,0.7341139472400773,0.3942806838735702,0.6573644701882099,0.7304049668757887,-0.0007558553642886233,0.002953125,1.3831425667450936e-06,1.6597710800941124e-05,1.095110101894423e-06,0.44963552981179017
1.0,0.7333580918757887,0.3941035583674973,0.7300768418757887,0.7300768418757887,0.0,0.00328125,1.536825074161215e-06,1.8441900889934584e-05,1.2167890021049144e-06,0.4999231581242113
1.1,0.732674337527904,0.39392643286142437,0.8027235885633676,0.7297487168757887,0.0006837543478846951,0.003609375,1.6905075815773368e-06,2.0286090978928044e-05,1.338467902315406e-06,0.5502764114366325
