I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PO2 (atm),Power-Thermal (W)
0,54.24510891016514,None,None,None,2.169032719858579,2.0969773162414582,None
0.1,54.24492291866044,0.39743527712871835,5.455991484423046,54.559914844230455,2.168785433142166,2.096837698289168,5.368008515576954
0.2,54.24473690794173,0.3971905171379399,10.90526283853928,54.5263141926964,2.1685381464257527,2.096698080336878,10.74273716146072
0.3,54.244550878004915,0.39704586315956625,16.351936828363577,54.50645609454526,2.168290859709339,2.096558462384588,16.12006317163642
0.4,54.24436482884588,0.3969421945861392,21.79688978911408,54.492224472785196,2.1680435729929264,2.0964188444322978,21.49911021088592
0.5,54.244178760460485,0.39686098366079203,27.240537918476765,54.48107583695353,2.1677962862765128,2.0962792264800076,26.879462081523233
0.6,54.24399267284461,0.39679397762652685,32.68312634914176,54.471877248569605,2.1675489995600996,2.0961396085277175,32.26087365085823
0.7,54.24380656599416,0.39673677421142045,38.12481705462066,54.4640243637438,2.1673017128436864,2.0959999905754274,37.64318294537933
0.8,54.24362043990498,0.3966867456514347,43.56572515442316,54.45715644302895,2.1670544261272733,2.0958603726231373,43.026274845576836
0.9,54.24343429457297,0.396642196984875,49.00593672187528,54.45104080208364,2.16680713941086,2.0957207546708467,48.410063278124724
1.0,54.24324812999399,0.3966019709037855,54.44551856567168,54.44551856567168,2.166559852694447,2.0955811367185566,53.79448143432832
1.1,54.243061946163905,0.39656524194749665,59.884524056007585,54.44047641455234,2.1663125659780333,2.095441518766267,59.17947594399242
1.2,54.2428757430786,0.3965314006263712,65.32299681358589,54.43583067798824,2.16606527926162,2.0953019008139764,64.5650031864141
1.3,54.24268952073394,0.39649998408725246,70.76097316014743,54.43151781549802,2.165817992545207,2.0951622828616863,69.95102683985257
1.4,54.2425032791258,0.3964706325470578,76.19848381048413,54.427488436060095,2.165570705828794,2.095022664909396,75.33751618951585
