I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PO2 (atm),Power-Thermal (W)
0,54.310203906118524,None,None,None,2.169032719858579,2.0969773162414582,None
0.1,54.31000953661811,0.3979093929355195,5.4625001462188125,54.62500146218812,2.168785433142166,2.096837698289168,5.361499853781187
0.2,54.30981514703821,0.3976645719099131,10.918278486358576,54.591392431792876,2.1685381464257527,2.096698080336878,10.729721513641424
0.3,54.309620737374516,0.3975198568904054,16.371457786174457,54.57152595391486,2.168290859709339,2.096558462384588,16.10054221382554
0.4,54.30942630762272,0.397416127269537,21.822914380624816,54.55728595156204,2.1680435729929264,2.0964188444322978,21.473085619375183
0.5,54.30923185777852,0.39733485529043966,27.273064467135782,54.546128934271565,2.1677962862765128,2.0962792264800076,26.846935532864215
0.6,54.30903738783761,0.3972677881961145,32.72215317813756,54.536921963562605,2.1675489995600996,2.0961396085277175,32.221846821862435
0.7,54.30884289779569,0.3972105237146367,38.17034248688173,54.52906069554533,2.1673017128436864,2.0959999905754274,37.597657513118264
0.8,54.308648387648454,0.39716043408196694,43.61774751261794,54.52218439077242,2.1670544261272733,2.0958603726231373,42.97425248738206
0.9,54.30845385739157,0.3971158243364091,49.06445432841201,54.51606036490224,2.16680713941086,2.0957207546708467,48.351545671587985
1.0,54.308259307020734,0.397075537170006,54.510529742698424,54.510529742698424,2.166559852694447,2.0955811367185566,53.72947025730157
1.1,54.30806473653165,0.39703874712208687,59.9560271254121,54.505479204920086,2.1663125659780333,2.095441518766267,59.10797287458791
1.2,54.30787014591998,0.39700484470301295,65.40099009699554,54.50082508082962,2.16606527926162,2.0953019008139764,64.48700990300445
1.3,54.30767553518142,0.39697336705962627,70.84545497892914,54.496503829945496,2.165817992545207,2.0951622828616863,69.86654502107085
1.4,54.307480904311646,0.3969439544088428,76.28945248574432,54.49246606124594,2.165570705828794,2.095022664909396,75.24654751425567
1.5,54.307286253306344,0.39691632153824086,81.73300893115456,54.488672620769705,2.1653234191123807,2.094883046957106,80.62699106884543
1.6,54.30709158216119,0.39689023852323585,87.1761471111517,54.485091944469815,2.1650761323959675,2.094743429004816,86.00785288884829
1.7,54.30689689087187,0.3968655173003811,92.61888696549374,54.48169821499632,2.164828845679554,2.094603811052526,91.38911303450624
1.8,54.30670217943405,0.39684200208427567,98.06124608303286,54.47847004612937,2.164581558963141,2.0944641931002357,96.77075391696714
1.9,54.306507447843416,0.3968195623789237,103.50324009441943,54.475389523378645,2.1643342722467276,2.094324575147945,102.15275990558057
2.0,54.306312696095624,0.3967980877837848,108.94488298191594,54.47244149095797,2.1640869855303144,2.0941849571956554,107.53511701808405
2.1,54.30611792418636,0.3967774840683736,114.3861873271033,54.46961301290633,2.1638396988139013,2.094045339243365,112.9178126728967
2.2,54.3059231321113,0.39675767016087116,119.82716451130568,54.466892959684394,2.1635924120974876,2.0939057212910748,118.30083548869433
2.3,54.3057283198661,0.39673857580668115,125.26782487950472,54.464271686741185,2.163345125381075,2.0937661033387847,123.68417512049525
2.4,54.305533487446425,0.39672013972567544,130.70817787569771,54.46174078154072,2.1630978386646613,2.0936264853864945,129.06782212430227
2.5,54.305338634847956,0.3967023081458626,136.14823215566003,54.459292862264014,2.162850551948248,2.0934868674342044,134.45176784433994
2.6,54.30514376206635,0.3966850336248185,141.58799568163923,54.456921416015085,2.162603265231835,2.0933472494819143,139.83600431836078
2.7,54.30494886909728,0.39666827409366456,147.02747580246134,54.45462066757827,2.162355978515422,2.093207631529624,145.22052419753868
2.8,54.3047539559364,0.3966519920749952,152.46667932175495,54.45238547205534,2.1621086917990087,2.093068013577334,150.60532067824502
2.9,54.30455902257936,0.39663615403810404,157.90561255641768,54.45021122635092,2.1618614050825955,2.092928395625044,155.9903874435823
3.0,54.304364069021844,0.39662072986356245,163.34428138700957,54.448093795669855,2.161614118366182,2.0927887776727534,161.37571861299043
3.1,54.30416909525949,0.39660569239562393,168.78269130142087,54.44602945207125,2.1613668316497687,2.0926491597204633,166.7613086985791
3.2,54.303974101287956,0.39659101706571415,174.22084743289997,54.444014822781234,2.1611195449333556,2.0925095417681736,172.14715256710005
3.3,54.30377908710291,0.3965766815738758,179.6587545933235,54.44204684646167,2.1608722582169424,2.092369923815883,177.53324540667646
3.4,54.303584052699996,0.39656266561778186,185.09641730243092,54.440122736009094,2.1606249715005292,2.092230305863593,182.91958269756907
3.5,54.30338899807487,0.3965489506610398,190.5338398136164,54.438239946747544,2.160377684784116,2.092090687911303,188.30616018638358
3.6,54.303193923223176,0.3965355197341429,195.97102613677134,54.436396149103146,2.1601303980677025,2.0919510699590127,193.69297386322867
3.7,54.30299882814057,0.3965223572627008,201.4079800585872,54.43458920502357,2.1598831113512893,2.0918114520067226,199.0800199414128
3.8,54.30280371282271,0.39650944891857953,206.84470516066187,54.4328171475426,2.159635824634876,2.0916718340544325,204.46729483933808
3.9,54.30260857726521,0.39649678149038176,212.28120483569847,54.43107816299961,2.159388537918463,2.0915322161021423,209.8547951643015
4.0,54.30241342146375,0.3964843427703288,217.71748230204295,54.42937057551074,2.15914125120205,2.091392598149852,215.24251769795703
4.1,54.302218245413954,0.39647212145511,223.15354061676575,54.427692833357504,2.158893964485636,2.091252980197562,220.63045938323418
4.2,54.302023049111476,0.3964601070586837,228.5893826874676,54.426043497016096,2.1586466777692235,2.0911133622452716,226.0186173125324
4.3,54.301827832551936,0.39644828983533853,234.02501128295967,54.42442122859527,2.15839939105281,2.0909737442929814,231.4069887170403
4.4,54.301632595731,0.39643666071160216,239.4604290429505,54.422824782488746,2.1581521043363967,2.0908341263406913,236.7955709570495
4.5,54.30143733864429,0.39642521122580116,244.8956384868509,54.42125299707798,2.1579048176199835,2.090694508388401,242.18436151314907
4.6,54.30124206128745,0.39641393347426557,250.330642021797,54.41970478734718,2.1576575309035704,2.090554890436111,247.57335797820292
4.7,54.301046763656096,0.39640282006331895,255.7654419499744,54.41817913829242,2.157410244187157,2.090415272483821,252.9625580500256
4.8,54.300851445745884,0.39639186406632304,261.20004047531916,54.41667509902483,2.157162957470744,2.090275654531531,258.3519595246808
4.9,54.300656107552435,0.39638105898515225,266.63443970966034,54.4151917774817,2.1569156707543304,2.0901360365792407,263.74156029033963
5.0,54.300460749071384,0.3963703987155601,272.0686416783605,54.4137283356721,2.1566683840379173,2.0899964186269506,269.1313583216395
5.1,54.300265370298355,0.39635987751597557,277.50264832550494,54.41228398539313,2.156421097321504,2.08985680067466,274.521351674495
5.2,54.300069971228986,0.39634948997932956,282.9364615186843,54.410857984362366,2.156173810605091,2.08971718272237,279.9115384813157
5.3,54.29987455185889,0.396339231007565,288.37008305340817,54.40944963271853,2.155926523888678,2.0895775647700803,285.30191694659175
5.4,54.29967911218371,0.3963290957885296,293.8035146571865,54.40805826984935,2.1556792371722646,2.0894379468177897,290.6924853428135
5.5,54.29948365219905,0.39631907977498915,299.2367579933078,54.40668327151051,2.155431950455851,2.0892983288654996,296.08324200669216
5.6,54.299288171900535,0.3963091786655313,304.6698146643431,54.40532404720413,2.155184663739438,2.0891587109132095,301.4741853356568
