I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PO2 (atm),Power-Thermal (W)
0,54.33190223810299,None,None,None,2.169032719858579,2.0969773162414582,None
0.1,54.33170507593734,0.3980674315377867,5.464669700150736,54.646697001507356,2.168785433142166,2.096837698289168,5.3593302998492645
0.2,54.331507893403696,0.39782259016723753,10.922617035631674,54.613085178158364,2.1685381464257527,2.096698080336878,10.725382964368327
0.3,54.33131069049771,0.39767785480068507,16.377964772111415,54.59321590703805,2.168290859709339,2.096558462384588,16.094035227888583
0.4,54.33111346721499,0.39757410483066946,21.831589244461725,54.578973111154305,2.1680435729929264,2.0964188444322978,21.464410755538278
0.5,54.3309162235512,0.39749281250032226,27.28390665002212,54.56781330004424,2.1677962862765128,2.0962792264800076,26.836093349977876
0.6,54.33071895950195,0.39742572505264384,32.73516212113616,54.55860353522694,2.1675489995600996,2.0961396085277175,32.20883787886383
0.7,54.330521675062876,0.3973684402157089,38.18551763096876,54.550739472812516,2.1673017128436864,2.0959999905754274,37.58248236903123
0.8,54.330324370229604,0.39731833022547763,43.63508829868286,54.543860373353574,2.1670544261272733,2.0958603726231373,42.95691170131714
0.9,54.33012704499777,0.39727370012025376,49.08396019725759,54.537733552508435,2.16680713941086,2.0957207546708467,48.33203980274241
1.0,54.32992969936299,0.3972333925920795,54.53220013504068,54.53220013504068,2.166559852694447,2.0955811367185566,53.70779986495931
1.1,54.32973233332089,0.39719658218028353,59.97986148188026,54.52714680170933,2.1663125659780333,2.095441518766267,59.08413851811974
1.2,54.3295349468671,0.3971626593952269,65.4269878581321,54.52248988177674,2.16606527926162,2.0953019008139764,64.4610121418679
1.3,54.32933753999724,0.3971311613837509,70.87361558518971,54.51816583476132,2.165817992545207,2.0951622828616863,69.83838441481028
1.4,54.32914011270694,0.3971017283627712,76.31977537749772,54.514125269641234,2.165570705828794,2.095022664909396,75.21622462250227
1.5,54.328942664991786,0.3970740751198656,81.76549354868271,54.51032903245515,2.1653234191123807,2.094883046957106,80.59450645131727
1.6,54.32874519684742,0.39704797173044903,87.21079289464967,54.506745559156045,2.1650761323959675,2.094743429004816,85.97320710535033
1.7,54.32854770826946,0.39702323013107454,92.65569335506964,54.50334903239391,2.164828845679554,2.094603811052526,91.35230664493034
1.8,54.32835019925351,0.3969996945363405,98.10021251870789,54.500118065948826,2.164581558963141,2.0944641931002357,96.7317874812921
1.9,54.32815266979519,0.3969772344502507,103.54436601612778,54.49703474533042,2.1643342722467276,2.094324575147945,102.1116339838722
2.0,54.327955119890106,0.39695573947226437,108.9881678295049,54.49408391475245,2.1640869855303144,2.0941849571956554,107.49183217049509
2.1,54.327757549533864,0.39693511537189563,114.43163054033306,54.49125263825383,2.1638396988139013,2.094045339243365,112.87236945966694
2.2,54.32755995872209,0.39691528107732504,119.87476552984941,54.48852978629518,2.1635924120974876,2.0939057212910748,118.2532344701506
2.3,54.327362347450375,0.39689616633395586,125.31758314294855,54.48590571432546,2.163345125381075,2.0937661033387847,123.63441685705142
2.4,54.32716471571433,0.39687770986165954,130.7600928235407,54.483372009808626,2.1630978386646613,2.0936264853864945,129.01590717645928
2.5,54.326967063509564,0.3968598578884442,136.20230322731405,54.48092129092562,2.162850551948248,2.0934868674342044,134.39769677268595
2.6,54.32676939083167,0.39684256297188525,141.64422231642905,54.478547044780406,2.162603265231835,2.0933472494819143,139.77977768357093
2.7,54.32657169767626,0.3968257830431035,147.08585743962456,54.476243496157245,2.162355978515422,2.093207631529624,145.16214256037543
2.8,54.32637398403892,0.39680948062469307,152.527215400442,54.474005500157865,2.1621086917990087,2.093068013577334,150.54478459955794
