I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
2.8,3.011658369036767,0.405037164763553,8.846011678435998,3.159289885155714,2.168639309173376,2.6692207838690325,2.096755196771906,8.373988321564001
2.9,3.0116582333265622,0.40478338937155445,9.156200267584563,3.157310437098125,2.168625258791762,2.669203490273704,2.0967472639337075,8.678799732415438
3.0,3.011658097615844,0.40453690054664865,9.466163472791578,3.1553878242638596,2.1686112084101477,2.6691861966783756,2.0967393310955096,8.983836527208423
3.1,3.011657961904612,0.4042972203482529,9.775906788020757,3.153518318716373,2.168597158028533,2.669168903083047,2.0967313982573113,9.289093211979246
3.2,3.0116578261928666,0.404063916370018,10.08543535259565,3.1516985476861406,2.168583107646919,2.6691516094877183,2.096723465419113,9.594564647404352
3.3,3.0116576904806083,0.4038365961332527,10.394753984469924,3.149925449839371,2.1685690572653042,2.6691343158923897,2.0967155325809146,9.900246015530076
3.4,3.0116575547678357,0.4036149023175562,10.70386720946159,3.1481962380769386,2.16855500688369,2.669117022297061,2.0967075997427163,10.20613279053841
3.5,3.01165741905455,0.4033985086829766,11.01277928704526,3.1465083677272174,2.1685409565020755,2.6690997287017324,2.096699666904518,10.51222071295474
3.6,3.0116572833407513,0.4031871165667589,11.32149423319459,3.144859509220719,2.168526906120461,2.669082435106404,2.0966917340663196,10.818505766805412
3.7,3.0116571476264387,0.4029804518601847,11.630015840684932,3.143247524509441,2.1685128557388467,2.6690651415110755,2.0966838012281213,11.124984159315071
3.8,3.0116570119116126,0.40277826238865383,11.9383476971997,3.1416704466314997,2.168498805357232,2.669047847915747,2.096675868389923,11.431652302800302
3.9,3.011656876196273,0.402580315632138,12.246493201529637,3.1401264619306763,2.168484754975618,2.6690305543204187,2.0966679355517246,11.738506798470363
4.0,3.01165674048042,0.40238639673428384,12.554455578109655,3.138613894527414,2.1684707045940037,2.66901326072509,2.0966600027135263,12.045544421890346
4.1,3.0116566047640534,0.4021963067573852,12.862237890101179,3.137131192707605,2.168456654212389,2.6689959671297614,2.096652069875328,12.35276210989882
4.2,3.011656469047174,0.4020098611476659,13.169843051197535,3.135676916951794,2.168442603830775,2.6689786735344327,2.0966441370371296,12.660156948802467
4.3,3.0116563333297797,0.40182688838116853,13.477273836304393,3.134249729373115,2.1684285534491603,2.668961379939104,2.0966362041989317,12.967726163695607
4.4,3.011656197611873,0.4016472287653351,13.784532891226302,3.132848384369614,2.168414503067546,2.6689440863437754,2.0966282713607334,13.275467108773702
