I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,3.011837138619105,0.42651654669091293,0.3326829064189121,3.326829064189121,2.169018669476965,2.669687710942903,2.09696938340326,0.2823170935810879
0.2,3.0118370008852793,0.4222326007230702,0.6586828571279896,3.2934142856399475,2.1690046190953503,2.6696704173475743,2.0969614505650616,0.5713171428720106
0.3,3.0118368631509322,0.41971052303734263,0.9821226239073819,3.273742079691273,2.1689905687137356,2.669653123752246,2.0969535177268637,0.8628773760926182
0.4,3.0118367254160643,0.41790979094299785,1.3038785477421535,3.2596963693553835,2.1689765183321215,2.6696358301569174,2.0969455848886653,1.1561214522578467
0.5,3.0118365876806754,0.41650431591970705,1.6243668320868576,3.2487336641737152,2.1689624679505073,2.669618536561589,2.096937652050467,1.4506331679131426
0.6,3.0118364499447647,0.4153488494448407,1.9438326154018544,3.2397210256697573,2.1689484175688927,2.6696012429662606,2.0969297192122687,1.7461673845981458
0.7,3.0118363122083336,0.41436591153307406,2.2624378769705844,3.232054109957978,2.1689343671872785,2.669583949370932,2.0969217863740703,2.0425621230294153
0.8,3.011836174471381,0.4135092535378656,2.5802977420762816,3.225372177595352,2.168920316805664,2.6695666557756033,2.096913853535872,2.3397022579237188
0.9,3.011836036733908,0.4127490441339196,2.897498289820116,3.2194425442445733,2.1689062664240497,2.6695493621802746,2.0969059206976737,2.6375017101798846
1.0,3.0118358989959138,0.4120649147017442,3.214106334673605,3.214106334673605,2.168892216042435,2.669532068584946,2.0968979878594753,2.9358936653263954
1.1,3.011835761257398,0.41144233713408157,3.5301752526104204,3.2092502296458365,2.168878165660821,2.6695147749896178,2.096890055021277,3.2348247473895806
1.2,3.0118356235183614,0.4108705844138468,3.845748670113606,3.204790558428005,2.1688641152792063,2.669497481394289,2.0968821221830787,3.534251329886394
1.3,3.011835485778804,0.4103415103260106,4.160862914705747,3.200663780542883,2.168850064897592,2.669480187798961,2.0968741893448803,3.834137085294253
1.4,3.011835348038725,0.4098487826888487,4.475548706962228,3.1968205049730205,2.168836014515978,2.6694628942036323,2.096866256506682,4.134451293037771
1.5,3.011835210298125,0.4093873817642935,4.789832366642234,3.1932215777614896,2.1688219641343633,2.6694456006083036,2.0968583236684837,4.435167633357766
1.6,3.0118350725570044,0.4089532608802085,5.1037366957850026,3.1898354348656266,2.1688079137527487,2.669428307012975,2.096850390830286,4.736263304214998
1.7,3.0118349348153624,0.40854311012048883,5.417281640197682,3.186636258939813,2.1687938633711346,2.6694110134176463,2.0968424579920875,5.0377183598023185
1.8,3.011834797073199,0.40815418766263023,5.730484794783329,3.1836026637685158,2.16877981298952,2.6693937198223177,2.096834525153889,5.3395152052166726
1.9,3.0118346593305145,0.40778419677766026,6.043361796244925,3.1807167348657504,2.1687657626079058,2.669376426226989,2.096826592315691,5.6416382037550745
2.0,3.011834521587309,0.4074311944166219,6.355926632899302,3.177963316449651,2.168751712226291,2.669359132631661,2.0968186594774925,5.944073367100699
2.1,3.011834383843582,0.40709352212353217,6.668191892383457,3.175329472563551,2.168737661844677,2.669341839036332,2.096810726639294,6.246808107616544
2.2,3.0118342460993346,0.4067697530349262,6.980168962079334,3.1728040736724243,2.168723611463063,2.669324545441004,2.096802793801096,6.549831037920668
2.3,3.0118341083545657,0.4064586506704675,7.291868193028187,3.170377475229647,2.168709561081448,2.6693072518456753,2.0967948609628975,6.853131806971812
2.4,3.0118339706092763,0.4061591365004579,7.603299035288572,3.1680412647035716,2.168695510699834,2.6692899582503467,2.096786928124699,7.156700964711429
2.5,3.0118338328634646,0.40587026413840094,7.914470150698818,3.165788060279527,2.1686814603182194,2.669272664655018,2.096778995286501,7.460529849301183
2.6,3.0118336951171325,0.40559119859818754,8.225389507571245,3.1636113490658633,2.168667409936605,2.6692553710596894,2.0967710624483025,7.764610492428757
2.7,3.011833557370279,0.4053211994681114,8.536064460798427,3.161505355851269,2.1686533595549906,2.6692380774643607,2.096763129610104,8.068935539201576
2.8,3.0118334196229046,0.40505960714639117,8.846501820077183,3.1594649357418514,2.168639309173376,2.6692207838690325,2.096755196771906,8.373498179922816
2.9,3.0118332818750093,0.40480583149315025,9.15670790837506,3.157485485646572,2.168625258791762,2.669203490273704,2.0967472639337075,8.678292091624941
3.0,3.011833144126592,0.4045593424070009,9.466688612323823,3.1555628707746077,2.1686112084101477,2.6691861966783756,2.0967393310955096,8.983311387676178
3.1,3.011833006377654,0.40431966194736085,9.776449425887186,3.153693363189415,2.168597158028533,2.669168903083047,2.0967313982573113,9.288550574112815
3.2,3.011832868628195,0.40408635770788065,10.085995488388702,3.151873590121469,2.168583107646919,2.6691516094877183,2.096723465419113,9.5940045116113
3.3,3.011832730878215,0.40385903720986893,10.395331617782027,3.150100490236978,2.1685690572653042,2.6691343158923897,2.0967155325809146,9.899668382217975
3.4,3.0118325931277132,0.4036373431329251,10.704462339885174,3.148371276436816,2.16855500688369,2.669117022297061,2.0967075997427163,10.205537660114826
3.5,3.0118324553766906,0.4034209492370971,11.013391914172752,3.146683404049358,2.1685409565020755,2.6690997287017324,2.096699666904518,10.511608085827248
3.6,3.011832317625147,0.40320955685963006,11.322124356618414,3.145034543505115,2.168526906120461,2.669082435106404,2.0966917340663196,10.817875643381587
3.7,3.011832179873082,0.4030028918918056,11.630663459997512,3.143422556756084,2.1685128557388467,2.6690651415110755,2.0966838012281213,11.12433654000249
3.8,3.0118320421204956,0.4028007021590234,11.939012811993454,3.1418454768403827,2.168498805357232,2.669047847915747,2.096675868389923,11.430987188006547
