I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,3.012187349820854,0.42656144556293213,0.3327179275390871,3.3271792753908707,2.169018669476965,2.669687710942903,2.09696938340326,0.28228207246091297
0.2,3.0121872080120626,0.42227749907265777,0.6587528985533462,3.293764492766731,2.1690046190953503,2.6696704173475743,2.0969614505650616,0.5712471014466539
0.3,3.012187066202735,0.4197554208644968,0.9822276848229227,3.2740922827430756,2.1689905687137356,2.669653123752246,2.0969535177268637,0.8627723151770774
0.4,3.0121869243928705,0.41795468824771664,1.304018627332876,3.2600465683321898,2.1689765183321215,2.6696358301569174,2.0969455848886653,1.1559813726671242
0.5,3.0121867825824697,0.4165492127019884,1.6245419295377548,3.2490838590755096,2.1689624679505073,2.669618536561589,2.096937652050467,1.4504580704622454
0.6,3.012186640771533,0.41539374570468274,1.9440427298979153,3.2400712164965255,2.1689484175688927,2.6696012429662606,2.0969297192122687,1.745957270102085
0.7,3.0121864989600593,0.4144108072704748,2.2626830076967925,3.2324042967097038,2.1689343671872785,2.669583949370932,2.0969217863740703,2.0423169923032076
0.8,3.0121863571480496,0.4135541487528231,2.5805778882176167,3.2257223602720204,2.168920316805664,2.6695666557756033,2.096913853535872,2.339422111782384
0.9,3.012186215335503,0.41279393882643184,2.8978134505615514,3.2197927228461682,2.1689062664240497,2.6695493621802746,2.0969059206976737,2.6371865494384488
1.0,3.01218607352242,0.41210980887180915,3.214456509200111,3.214456509200111,2.168892216042435,2.669532068584946,2.0968979878594753,2.935543490799889
1.1,3.0121859317088004,0.4114872307816973,3.5305604401069632,3.209600400097239,2.168878165660821,2.6695147749896178,2.096890055021277,3.2344395598930378
1.2,3.012185789894644,0.41091547753901125,3.8461688697651453,3.205140724804288,2.1688641152792063,2.669497481394289,2.0968821221830787,3.533831130234855
1.3,3.012185648079952,0.41038640292872186,4.161318125697241,3.201013942844031,2.168850064897592,2.669480187798961,2.0968741893448803,3.8336818743027603
1.4,3.012185506264723,0.40989367476910493,4.4760389284786255,3.1971706631990187,2.168836014515978,2.6694628942036323,2.096866256506682,4.133961071521374
1.5,3.012185364448957,0.4094322733220925,4.790357597868482,3.1935717319123214,2.1688219641343633,2.6694456006083036,2.0968583236684837,4.4346424021315185
1.6,3.012185222632655,0.40899815191554834,5.104296935906044,3.1901855849412772,2.1688079137527487,2.669428307012975,2.096850390830286,4.735703064093957
1.7,3.0121850808158164,0.40858800063336764,5.417876888398455,3.1869864049402676,2.1687938633711346,2.6694110134176463,2.0968424579920875,5.037123111601545
1.8,3.012184938998441,0.40819907765304586,5.731115050248764,3.183952805693758,2.16877981298952,2.6693937198223177,2.096834525153889,5.338884949751236
1.9,3.01218479718053,0.407829086245611,6.044027058159955,3.181066872715766,2.1687657626079058,2.669376426226989,2.096826592315691,5.640972941840046
2.0,3.0121846553620815,0.40747608336210556,6.356626900448847,3.1783134502244237,2.168751712226291,2.669359132631661,2.0968186594774925,5.943373099551153
2.1,3.012184513543097,0.40713841054654687,6.668927164752438,3.175679602263066,2.168737661844677,2.669341839036332,2.096810726639294,6.2460728352475625
2.2,3.012184371723575,0.4068146409354698,6.980939238452663,3.1731541992966648,2.168723611463063,2.669324545441004,2.096802793801096,6.549060761547339
2.3,3.012184229903518,0.40650353804853834,7.292673472590778,3.1707275967785993,2.168709561081448,2.6693072518456753,2.0967948609628975,6.852326527409222
2.4,3.012184088082923,0.4062040233560536,7.604139317225324,3.1683913821772185,2.168695510699834,2.6692899582503467,2.096786928124699,7.1558606827746765
2.5,3.0121839462617923,0.4059151504715198,7.915345434194637,3.166138173677855,2.1686814603182194,2.669272664655018,2.096778995286501,7.459654565805364
2.6,3.012183804440125,0.40563608440882765,8.226299791811025,3.163961458388856,2.168667409936605,2.6692553710596894,2.0967710624483025,7.763700208188976
2.7,3.012183662617921,0.40536608475627056,8.53700974496706,3.1618554610989107,2.1686533595549906,2.6692380774643607,2.096763129610104,8.067990255032942
2.8,3.01218352079518,0.40510449191206754,8.847482103359555,3.159815036914127,2.168639309173376,2.6692207838690325,2.096755196771906,8.372517896640446
2.9,3.0121833789719026,0.40485071573634174,9.15772318995605,3.1578355827434654,2.168625258791762,2.669203490273704,2.0967472639337075,8.677276810043951
3.0,3.0121832371480894,0.40460422612770575,9.467738891388315,3.155912963796105,2.1686112084101477,2.6691861966783756,2.0967393310955096,8.982261108611686
3.1,3.012183095323739,0.4043645451455769,9.77753470162005,3.1540434521355,2.168597158028533,2.669168903083047,2.0967313982573113,9.287465298379951
3.2,3.012182953498852,0.4041312403836058,10.087115759974802,3.1522236749921255,2.168583107646919,2.6691516094877183,2.096723465419113,9.5928842400252
3.3,3.012182811673428,0.4039039193631014,10.39648688440623,3.150450571032191,2.1685690572653042,2.6691343158923897,2.0967155325809146,9.89851311559377
3.4,3.0121826698474683,0.40368222476366294,10.705652600732341,3.148721353156571,2.16855500688369,2.669117022297061,2.0967075997427163,10.20434739926766
3.5,3.012182528020971,0.40346583034533823,11.014617168427733,3.1470334766936383,2.1685409565020755,2.6690997287017324,2.096699666904518,10.510382831572267
3.6,3.0121823861939383,0.40325443744537254,11.323384603466062,3.145384612073906,2.168526906120461,2.669082435106404,2.0966917340663196,10.816615396533939
3.7,3.012182244366368,0.4030477719550475,11.631958698622672,3.1437726212493704,2.1685128557388467,2.6690651415110755,2.0966838012281213,11.12304130137733
3.8,3.0121821025382616,0.40284558169976264,11.940343041580965,3.1421955372581487,2.168498805357232,2.669047847915747,2.096675868389923,11.429656958419036
3.9,3.0121819607096185,0.40264763415948995,12.248541031131683,3.1406515464440217,2.168484754975618,2.6690305543204187,2.0966679355517246,11.736458968868316
4.0,3.012181818880439,0.402453714477876,12.556555891709731,3.139138972927433,2.1684707045940037,2.66901326072509,2.0966600027135263,12.04344410829027
4.1,3.0121816770507226,0.40226362371721464,12.864390686476524,3.1376562649942743,2.168456654212389,2.6689959671297614,2.096652069875328,12.350609313523476
4.2,3.0121815352204697,0.4020771773237295,13.172048329125378,3.13620198312509,2.168442603830775,2.6689786735344327,2.0966441370371296,12.657951670874624
4.3,3.01218139338968,0.40189420377346347,13.479531594561964,3.134774789433015,2.1684285534491603,2.668961379939104,2.0966362041989317,12.965468405438036
4.4,3.0121812515583537,0.40171454337385826,13.786843128590817,3.1333734383160947,2.168414503067546,2.6689440863437754,2.0966282713607334,13.273156871409187
4.5,3.0121811097264906,0.4015380472000229,14.093985456720805,3.131996768160179,2.1684004526859315,2.6689267927484472,2.096620338522535,13.581014543279196
4.6,3.0121809678940914,0.4013645761479261,14.400960992187589,3.130643693953824,2.1683864023043173,2.6689094991531186,2.0966124056843367,13.88903900781241
4.7,3.012180826061155,0.40119400008942074,14.707772043278165,3.129313200697482,2.168372351922703,2.6688922055577904,2.0966044728461384,14.197227956721838
4.8,3.0121806842276824,0.4010261971162345,15.01442082003182,3.128004337506629,2.1683583015410886,2.6688749119624617,2.09659654000794,14.505579179968182
4.9,3.0121805423936725,0.4008610528619159,15.32090944038243,3.1267162123229446,2.168344251159474,2.668857618367133,2.0965886071697417,14.814090559617574
5.0,3.012180400559127,0.4006984598922873,15.627239935799205,3.125447987159841,2.1683302007778598,2.6688403247718044,2.0965806743315434,15.122760064200797
5.1,3.012180258724044,0.40053831715625887,15.933414256475977,3.1241988738188193,2.168316150396245,2.668823031176476,2.096572741493345,15.431585743524023
5.2,3.012180116888424,0.4003805294899751,16.239434276113393,3.122968130021806,2.168302100014631,2.668805737581147,2.0965648086551467,15.740565723886611
5.3,3.012179975052268,0.40022500716819226,16.545301796333067,3.1217550559119,2.1682880496330164,2.668788443985819,2.0965568758169484,16.04969820366693
5.4,3.0121798332155754,0.4000716654975918,16.85101855075857,3.1205589908812166,2.168273999251402,2.6687711503904903,2.09654894297875,16.358981449241433
5.5,3.0121796913783463,0.39992042444741116,17.156586208793943,3.1193793106898076,2.1682599488697876,2.6687538567951616,2.0965410101405517,16.66841379120606
5.6,3.0121795495405794,0.39977120831335616,17.4620063791274,3.1182154248441782,2.1682458984881734,2.6687365631998334,2.0965330773023534,16.977993620872603
5.7,3.012179407702277,0.3996239454112611,17.767280612984674,3.1170667742078373,2.1682318481065592,2.668719269604505,2.096525144464155,17.28771938701533
5.8,3.012179265863437,0.39947856779739116,18.072410407153974,3.115932828819651,2.1682177977249446,2.668701976009176,2.0965172116259567,17.597589592846024
5.9,3.012179124024061,0.39933501101265395,18.37739720680234,3.1148130858987013,2.16820374734333,2.6686846824138475,2.0965092787877584,17.907602793197665
6.0,3.0121789821841483,0.3991932138483096,18.68224240810089,3.113707068016815,2.168189696961716,2.668667388818519,2.0965013459495605,18.21775759189911
6.1,3.012178840343698,0.39905311813104555,18.98694736067515,3.1126143214221558,2.168175646580101,2.6686500952231906,2.096493413111362,18.52805263932485
6.2,3.012178698502712,0.39891466852552876,19.291513369894574,3.1115344144991246,2.168161596198487,2.668632801627862,2.096485480273164,18.83848663010543
6.3,3.012178556661189,0.3987778123527541,19.59594169901434,3.1104669363514823,2.1681475458168724,2.6686155080325333,2.0964775474349655,19.14905830098566
6.4,3.0121784148191293,0.3986424994226993,19.90023357118115,3.1094114954970546,2.1681334954352582,2.668598214437205,2.096469614596767,19.459766428818853
