I (A),E (V),FC Efficiency (),FC Power (W),FC Voltage (V),PH2 (atm),PH2O (atm),PO2 (atm),Power-Thermal (W)
0.1,3.0123624554217283,0.4265838949989416,0.3327354380991745,3.327354380991745,2.169018669476965,2.669687710942903,2.09696938340326,0.28226456190082555
0.2,3.0123623115754543,0.4222999482474516,0.6587879192660245,3.2939395963301226,2.1690046190953503,2.6696704173475743,2.0969614505650616,0.5712120807339756
0.3,3.012362167728636,0.4197778697780739,0.982280215280693,3.2742673842689767,2.1689905687137356,2.669653123752246,2.0969535177268637,0.8627197847193071
0.4,3.0123620238812743,0.4179771369000761,1.3040886671282375,3.2602216678205935,2.1689765183321215,2.6696358301569174,2.0969455848886653,1.1559113328717627
0.5,3.012361880033368,0.41657166109312915,1.6246294782632038,3.2492589565264076,2.1689624679505073,2.669618536561589,2.096937652050467,1.4503705217367964
0.6,3.012361736184917,0.4154161938346037,1.9441477871459456,3.2402463119099094,2.1689484175688927,2.6696012429662606,2.0969297192122687,1.7458522128540546
0.7,3.012361592335923,0.4144332551391753,2.262805573059897,3.2325793900855673,2.1689343671872785,2.669583949370932,2.0969217863740703,2.042194426940103
0.8,3.0123614484863834,0.4135765963603018,2.5807179612882836,3.2258974516103542,2.168920316805664,2.6695666557756033,2.096913853535872,2.339282038711717
0.9,3.0123613046363005,0.4128163861726879,2.8979710309322693,3.2199678121469657,2.1689062664240497,2.6695493621802746,2.0969059206976737,2.6370289690677313
1.0,3.012361160785673,0.41213225595684155,3.2146315964633643,3.2146315964633643,2.168892216042435,2.669532068584946,2.0968979878594753,2.935368403536636
1.1,3.0123610169345016,0.4115096776055051,3.5307530338552344,3.20977548532294,2.168878165660821,2.6695147749896178,2.096890055021277,3.2342469661447666
1.2,3.0123608730827858,0.4109379241015935,3.846378969590915,3.2053158079924295,2.1688641152792063,2.669497481394289,2.0968821221830787,3.5336210304090847
1.3,3.012360729230526,0.41040884923007753,4.161545731192986,3.201189023994605,2.168850064897592,2.669480187798961,2.0968741893448803,3.833454268807014
1.4,3.012360585377722,0.409916120809233,4.476284039236824,3.1973457423120175,2.168836014515978,2.6694628942036323,2.096866256506682,4.133715960763176
1.5,3.012360441524373,0.409454719100992,4.790620213481606,3.1937468089877377,2.1688219641343633,2.6694456006083036,2.0968583236684837,4.434379786518394
1.6,3.0123602976704804,0.4090205974332182,5.104577055966565,3.1903606599791026,2.1688079137527487,2.669428307012975,2.096850390830286,4.735422944033437
1.7,3.0123601538160436,0.40861044588980694,5.41817451249884,3.1871614779404944,2.1687938633711346,2.6694110134176463,2.0968424579920875,5.03682548750116
1.8,3.0123600099610623,0.40822152264825373,5.7314301779814825,3.184127876656379,2.16877981298952,2.6693937198223177,2.096834525153889,5.338569822018518
1.9,3.0123598661055375,0.40785153097958626,6.044359689117469,3.1812419416407733,2.1687657626079058,2.669376426226989,2.096826592315691,5.640640310882531
2.0,3.0123597222494674,0.40749852783484736,6.356977034223619,3.1784885171118096,2.168751712226291,2.669359132631661,2.0968186594774925,5.943022965776382
2.1,3.012359578392854,0.4071608547580542,6.669294800936928,3.175854667112823,2.168737661844677,2.669341839036332,2.096810726639294,6.245705199063073
2.2,3.012359434535696,0.4068370848857417,6.981324376639329,3.1733292621087856,2.168723611463063,2.669324545441004,2.096802793801096,6.548675623360673
2.3,3.0123592906779932,0.40652598173757365,7.293076112372071,3.1709026575530745,2.168709561081448,2.6693072518456753,2.0967948609628975,6.851923887627929
2.4,3.012359146819747,0.40622646678385155,7.604559458193702,3.1685664409140424,2.168695510699834,2.6692899582503467,2.096786928124699,7.155440541806299
2.5,3.012359002960956,0.40593759363807924,7.915783075942546,3.1663132303770185,2.1686814603182194,2.669272664655018,2.096778995286501,7.459216924057454
2.6,3.012358859101621,0.4056585273141476,8.226754933930915,3.1641365130503516,2.168667409936605,2.6692553710596894,2.0967710624483025,7.763245066069087
2.7,3.0123587152417413,0.40538852740035014,8.537482387051375,3.162030513722731,2.1686533595549906,2.6692380774643607,2.096763129610104,8.067517612948627
2.8,3.0123585713813177,0.40512693429490565,8.84797224500074,3.1599900875002644,2.168639309173376,2.6692207838690325,2.096755196771906,8.37202775499926
2.9,3.0123584275203497,0.4048731578579375,9.158230830746547,3.1580106312919125,2.168625258791762,2.669203490273704,2.0967472639337075,8.676769169253454
3.0,3.0123582836588376,0.4046266679880581,9.46826403092056,3.156088010306853,2.1686112084101477,2.6691861966783756,2.0967393310955096,8.981735969079441
3.1,3.0123581397967807,0.4043869867446848,9.77807733948648,3.1542184966085416,2.168597158028533,2.669168903083047,2.0967313982573113,9.286922660513522
3.2,3.01235799593418,0.4041536817214685,10.087675895767854,3.152398717427454,2.168583107646919,2.6691516094877183,2.096723465419113,9.592324104232148
3.3,3.0123578520710352,0.4039263604397177,10.397064517718333,3.150625611429798,2.1685690572653042,2.6691343158923897,2.0967155325809146,9.897935482281667
3.4,3.0123577082073454,0.4037046655790318,10.706247731155925,3.1488963915164483,2.16855500688369,2.669117022297061,2.0967075997427163,10.203752268844077
3.5,3.0123575643431124,0.40348827089945893,11.015229795555229,3.1472085130157796,2.1685409565020755,2.6690997287017324,2.096699666904518,10.509770204444772
3.6,3.0123574204783337,0.4032768777382438,11.324014726889885,3.1455596463583015,2.168526906120461,2.669082435106404,2.0966917340663196,10.815985273110115
3.7,3.0123572766130113,0.40307021198666837,11.63260631793525,3.1439476534960136,2.1685128557388467,2.6690651415110755,2.0966838012281213,11.122393682064752
3.8,3.012357132747145,0.4028680214701323,11.941008156374721,3.142370567467032,2.168498805357232,2.669047847915747,2.096675868389923,11.428991843625278
3.9,3.0123569888807338,0.4026700736686073,12.249223640999034,3.140826574615137,2.168484754975618,2.6690305543204187,2.0966679355517246,11.735776359000967
4.0,3.0123568450137785,0.40247615372574,12.55725599624309,3.1393139990607724,2.1684707045940037,2.66901326072509,2.0966600027135263,12.042744003756912
4.1,3.012356701146279,0.40228606270382444,12.865108285268304,3.1378312890898306,2.168456654212389,2.6689959671297614,2.096652069875328,12.349891714731696
4.2,3.012356557278235,0.402099616049084,13.172783421767994,3.1363770051828554,2.168442603830775,2.6689786735344327,2.0966441370371296,12.65721657823201
4.3,3.0123564134096465,0.40191664223756174,13.480284180647821,3.1349498094529817,2.1684285534491603,2.668961379939104,2.0966362041989317,12.964715819352179
4.4,3.012356269540514,0.4017369815766993,13.787613207712322,3.133548456298255,2.168414503067546,2.6689440863437754,2.0966282713607334,13.272386792287682
4.5,3.012356125670837,0.4015604851416058,14.094773028470364,3.1321717841045253,2.1684004526859315,2.6689267927484472,2.096620338522535,13.580226971529637
4.6,3.012355981800616,0.40138701382824976,14.401766056157602,3.130818707860348,2.1683864023043173,2.6689094991531186,2.0966124056843367,13.8882339438424
4.7,3.01235583792985,0.4012164375084842,14.708594599061032,3.129488212566177,2.168372351922703,2.6688922055577904,2.0966044728461384,14.196405400938971
4.8,3.0123556940585394,0.40104863427403664,15.015260867219933,3.128179347337486,2.1683583015410886,2.6688749119624617,2.09659654000794,14.504739132780067
4.9,3.012355550186685,0.400883489758456,15.32176697856819,3.126891220115957,2.168344251159474,2.668857618367133,2.0965886071697417,14.813233021431813
5.0,3.0123554063142866,0.4007208965275641,15.628114964575001,3.1256229929150003,2.1683302007778598,2.6688403247718044,2.0965806743315434,15.121885035425
5.1,3.0123552624413428,0.40056075353027154,15.934306775434202,3.1243738775361183,2.168316150396245,2.668823031176476,2.096572741493345,15.430693224565797
5.2,3.0123551185678554,0.4004029656027227,16.240344284846433,3.1231431317012373,2.168302100014631,2.668805737581147,2.0965648086551467,15.73965571515357
5.3,3.0123549746938236,0.40024744301967374,16.546229294433314,3.1219300555534555,2.1682880496330164,2.668788443985819,2.0965568758169484,16.04877070556669
5.4,3.0123548308192474,0.4000941010878062,16.8519635378184,3.1207339884848886,2.168273999251402,2.6687711503904903,2.09654894297875,16.358036462181605
5.5,3.0123546869441267,0.39994285977635735,17.157548684405732,3.119554306255588,2.1682599488697876,2.6687538567951616,2.0965410101405517,16.667451315594267
5.6,3.0123545430684615,0.39979364338103335,17.462986342883536,3.1183904183720603,2.1682458984881734,2.6687365631998334,2.0965330773023534,16.977013657116462
5.7,3.012354399192252,0.3996463802176682,17.76827806447753,3.117241765697812,2.1682318481065592,2.668719269604505,2.096525144464155,17.286721935522472
5.8,3.012354255315498,0.3995010023425271,18.073425345975927,3.1161078182717117,2.1682177977249446,2.668701976009176,2.0965172116259567,17.596574654024074
5.9,3.0123541114381998,0.39935744529651795,18.378429632545757,3.11498807331284,2.16820374734333,2.6686846824138475,2.0965092787877584,17.906570367454247
6.0,3.0123539675603572,0.39921564787090047,18.683292320358145,3.113882053393024,2.168189696961716,2.668667388818519,2.0965013459495605,18.216707679641857
6.1,3.0123538236819702,0.3990755518923625,18.98801475903861,3.112789304760428,2.168175646580101,2.6686500952231906,2.096493413111362,18.52698524096139
6.2,3.012353679803039,0.39893710202557064,19.292598253956598,3.1117093957994513,2.168161596198487,2.668632801627862,2.096485480273164,18.837401746043405
6.3,3.0123535359235625,0.39880024559151994,19.59704406836729,3.1106419156138556,2.1681475458168724,2.6686155080325333,2.0964775474349655,19.147955931632712
6.4,3.0123533920435417,0.398664932400188,19.90135342541739,3.109586472721467,2.1681334954352582,2.668598214437205,2.096469614596767,19.458646574582616
6.5,3.0123532481629773,0.39853111459616397,20.20552751002552,3.1085426938500795,2.168119445053644,2.6685809208418765,2.096461681758569,19.769472489974486
6.6,3.012353104281868,0.3983987465160618,20.50956747064686,3.107510222825282,2.1681053946720295,2.668563627246548,2.0964537489203705,20.08043252935314
6.7,3.012352960400215,0.39826778455665707,20.8134744209309,3.1064887195419253,2.1680913442904153,2.668546333651219,2.096445816082172,20.391525579069103
6.8,3.0123528165180162,0.398138187052791,21.117249441280038,3.10547785901177,2.1680772939088007,2.6685290400558905,2.096437883243974,20.702750558719963
6.9,3.012352672635274,0.3980099141641897,21.420893580316694,3.10447733048068,2.1680632435271865,2.668511746460562,2.0964299504057755,21.014106419683312
7.0,3.0123525287519866,0.3978829277704237,21.724407856265135,3.103486836609305,2.168049193145572,2.6684944528652337,2.096422017567577,21.325592143734866
7.1,3.0123523848681555,0.3977571913733216,22.027793258254547,3.1025060927119084,2.1680351427639573,2.668477159269905,2.096414084729379,21.63720674174545
7.2,3.0123522409837795,0.39763267000620506,22.331050747548478,3.1015348260483995,2.168021092382343,2.6684598656745764,2.0964061518911805,21.948949252451527
7.3,3.0123520970988586,0.3975093301493867,22.63418125870608,3.1005727751652166,2.168007042000729,2.668442572079248,2.096398219052982,22.26081874129392
7.4,3.012351953213394,0.3973871396514163,22.937185700679752,3.0996196892810475,2.1679929916191143,2.6684252784839195,2.096390286214784,22.572814299320253
7.5,3.012351809327385,0.3972660676556118,23.240064957853292,3.098675327713772,2.1679789412375,2.668407984888591,2.0963823533765855,22.88493504214671
7.6,3.012351665440831,0.39714608453145755,23.542819891024806,3.0977394593453695,2.1679648908558855,2.6683906912932622,2.096374420538387,23.197180108975193
7.7,3.012351521553733,0.397027161810487,23.84545133833785,3.0968118621217986,2.1679508404742713,2.6683733976979336,2.0963664877001893,23.509548661662155
7.8,3.0123513776660897,0.39690927212630056,24.147960116164125,3.0958923225851445,2.1679367900926567,2.6683561041026054,2.096358554861991,23.822039883835874
7.9,3.0123512337779026,0.3967923891584063,24.450347019941,3.0949806354355696,2.1679227397110425,2.6683388105072767,2.0963506220237926,24.134652980059006
8.0,3.012351089889171,0.3966764875795919,24.752612824966533,3.0940766031208167,2.167908689329428,2.668321516911948,2.0963426891855943,24.44738717503347
